id;longitude;latitude;name;name_en;name_fr;name_es;name_de;name_it;visit_time_min;visit_time_max;price_min;price_max;type_id;street;postal_code;phone;mail;website;resa_link;url_img1;url_img2;desc;desc_en;desc_fr;desc_es;desc_de;desc_it;withchild
31;5.45080089388657;43.316212571048;Jardin Bonniot;;;;;;20;60;-1;-1;1;Avenue Bonniot;13012;;;;;;;Jardins;;;;;;1
32;5.37517517345587;43.3021784228628;Jardin de la Porte d'Aix;;;;;;20;60;-1;-1;1;Place Jules Guesde;13003;;;;;;;Jardins;;;;;;1
33;5.36497137767155;43.290292961723;Square Lamy;;;;;;20;60;-1;-1;1;Rue du Commandant Lamy;13007;;;;;;;Jardins;;;;;;1
34;5.5011353866203;43.2883972191243;Jardin de Saint Menet;;;;;;20;60;-1;-1;1;Avenue de Saint Menet;13011;;;;;;;Jardins;;;;;;1
35;5.41047176779811;43.2752718925058;Jardin de la Pauline;;;;;;20;60;-1;-1;1;Boulevard Romain Rolland;13009;;;;;;;Jardins;;;;;;1
36;5.41668640913032;43.2564504951141;Jardin Infossi;;;;;;20;60;-1;-1;1;Traverse Alexis Breysse;13009;;;;;;;Jardins;;;;;;1
37;5.40892895997661;43.3004382182519;Jardin Beau Sainte Elisabeth;;;;;;20;60;-1;-1;1;Rue Beau;13012;;;;;;;Jardins;;;;;;1
38;5.5134053312452;43.3023696852094;Jardin des Camoins;;;;;;20;60;-1;-1;1;Chemin des Mines;13011;;;;;;;Jardins;;;;;;1
39;5.40138827018078;43.2452531843801;Jardin Batani;;;;;;20;60;-1;-1;1;Avenue de la Martheline;13009;;;;;;;Jardins;;;;;;1
40;5.37512585283838;43.2977713736176;Jardin des Vestiges;;;;;;20;60;-1;-1;1;Rue Henri Barbusse;13001;;;;;;;Jardins;;;;;;1
41;5.41509555739496;43.2604784562081;Jardin du Cabot;;;;;;20;60;-1;-1;1;Boulevard de la Gaye;13009;;;;;;;Jardins;;;;;;1
42;5.38633368947835;43.2945554438636;Square Yves Montand;;;;;;20;60;-1;-1;1;Place Jean Jaures;13005;;;;;;;Jardins;;;;;;1
43;5.39144334698089;43.2468613139569;Jardin Zénatti;;;;;;20;60;-1;-1;1;Avenue André Zénatti;13008;;;;;;;Jardins;;;;;;1
44;5.34479254837428;43.3558192943796;Jardin Emmanuel Vitria;;;;;;20;60;-1;-1;1;17 rue Condorcet;13016;;;;;;;Jardins;;;;;;1
45;5.30800738956769;43.3640513553991;Jardin de la panetiere;;;;;;20;60;-1;-1;1;Rue Raymond Fillat;13016;;;;;;;Jardins;;;;;;1
46;5.419742968447;43.2637445397112;Jardin Parc Vert;;;;;;20;60;-1;-1;1;Traverse Régny;13009;;;;;;;Jardins;;;;;;1
47;5.46466904872422;43.3126093217186;Jardin des Trois Lucs;;;;;;20;60;-1;-1;1;Avenue des Poilus;13012;;;;;;;Jardins;;;;;;1
48;5.35430325906427;43.2318209879213;Jardin Mont Rose;;;;;;20;60;-1;-1;1;Rue Copello;13008;;;;;;;Jardins;;;;;;1
49;5.39584009323043;43.275068456161;Square Mélizan;;;;;;20;60;-1;-1;1;Boulevard Rabatau;13008;;;;;;;Jardins;;;;;;1
50;5.36527507901787;43.383607095351;Jardin de la Bigotte;;;;;;20;60;-1;-1;1;Chemin des Bourellys;13015;;;;;;;Jardins;;;;;;1
51;5.40234031511993;43.2666597427594;Square Gustave Ganay;;;;;;20;60;-1;-1;1;Boulevard Gustave Ganay;13008;;;;;;;Jardins;;;;;;1
52;5.38443070272438;43.3010152407048;Jardin Labadie;;;;;;20;60;-1;-1;1;Place Labadie;13001;;;;;;;Jardins;;;;;;1
53;5.35503312988143;43.3363190321015;Jardin Bernabo;;;;;;20;60;-1;-1;1;Boulevard Bernabo;13015;;;;;;;Jardins;;;;;;1
54;5.41049646524041;43.2799006250579;Jardin de la Capelette;;;;;;20;60;-1;-1;1;Avenue de la Capelette;13010;;;;;;;Jardins;;;;;;1
55;5.3666126648995;43.2897688494206;Jardin de la Corderie;;;;;;20;60;-1;-1;1;Boulevard de la Corderie;13007;;;;;;;Jardins;;;;;;1
56;5.41401391587822;43.29799849038;Jardin Félicien David;;;;;;20;60;-1;-1;1;Boulevard d'HaÔti;13012;;;;;;;Jardins;;;;;;1
57;5.35808232614694;43.3585351643871;Jardin Gavot;;;;;;20;60;-1;-1;1;90 chemin de la Viste;13015;;;;;;;Jardins;;;;;;1
58;5.37431972680875;43.2846697361269;Jardin Jules Moulet;;;;;;20;60;-1;-1;1;Rue Jules Moulet;13006;;;;;;;Jardins;;;;;;1
59;5.48091423036673;43.2852696022499;Jardin de la Barasse;;;;;;20;60;-1;-1;1;Boulevard de la Barasse;13011;;;;;;;Jardins;;;;;;1
60;5.39871302934752;43.2616428480728;Jardin de la Magalone;;;;;;20;60;-1;-1;1;Boulevard Michelet;13009;;;;;;;Jardins;;;;;;1
61;5.38781622416873;43.2484879524974;Jardin Joseph Chabaud;;;;;;20;60;-1;-1;1;Avenue Elsa Triolet;13008;;;;;;;Jardins;;;;;;1
62;5.38722015049222;43.2760875449284;Square Lord Duveen;;;;;;20;60;-1;-1;1;Boulevard Lord Duveen;13008;;;;;;;Jardins;;;;;;1
63;5.40138646330791;43.3002070082232;Jardin Vallier;;;;;;20;60;-1;-1;1;Boulevard FranÁoise Duparc;13004;;;;;;;Jardins;;;;;;1
64;5.35709612321202;43.3584393432205;Parc Val Ombré;;;;;;20;60;-1;-1;1;Route Nationale de la viste;13015;;;;;;;Jardins;;;;;;1
65;5.40009136118816;43.2971634426523;Square Doria;;;;;;20;60;-1;-1;1;Boulevard Sakakini;13005;;;;;;;Jardins;;;;;;1
66;5.39739688769288;43.3136668126108;Jardin Velten;;;;;;20;60;-1;-1;1;Angle Boulevard Velten et avenue des Chutes lavie;13004;;;;;;;Jardins;;;;;;1
67;5.41741142877145;43.2619748279398;Jardin Vallon de Toulouse;;;;;;20;60;-1;-1;1;Avenue de la Grande Bastide;13009;;;;;;;Jardins;;;;;;1
